"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YNL222W",21.8024196074247,0.443264861882575,0.418977381637617,1.17656197591045,0.555280999502449,0.598003179630416
"YIL019W",53.2909735301863,-0.311639049301878,0.292011363473737,1.17268433034845,0.556358635288974,0.598932165641522
"YNL326C",20.4824597735174,-0.163432659592817,0.394749882057112,1.17273778343487,0.556343765944571,0.598932165641522
"YER022W",63.6016291834207,0.285783271800751,0.271293856878991,1.16840237920945,0.557551061557276,0.600099877112748
"YDL084W",273.053653134353,-0.0718286203252754,0.175692911582673,1.15811345604267,0.560426752171974,0.603078508083845
"YGL179C",84.6085492509405,0.0865745906576592,0.244941107453014,1.15756989286513,0.56057908654497,0.603125934944386
"YOR046C",73.8368458616949,0.123959401040804,0.281906302538791,1.15690580170683,0.56076525525896,0.603209738761859
"YNCB0010W",380.752706295887,0.30438166418448,0.288387418261808,1.15411837476357,0.561547346228399,0.60393441425452
"YJL023C",34.0844341218925,-0.260131645860797,0.325311473739529,1.15108246850474,0.562400396060954,0.604735110298316
"YNL233W",86.6832906217489,-0.266042057129823,0.258726457237341,1.15011517804319,0.562672464117199,0.60491090266247
"YML049C",143.04530702381,0.165654102583635,0.190101302861121,1.14487119376747,0.564149722728211,0.606382038456273
"YOR159C",22.0948616070433,0.167930749080556,0.385760424013482,1.1434654784882,0.564546379050864,0.606691334431397
"YFR045W",59.3394744052136,-0.0462761135123629,0.245331306767857,1.14219286532944,0.564905717938943,0.606960415552141
"YHR195W",109.961452725277,-0.139357942615262,0.206072201972291,1.1410187845381,0.565237437772062,0.607199723453173
"YNCP0026W",12.8800279363454,-0.324337502395434,0.525282498551337,1.13812517887418,0.566055816771532,0.607961626225989
"YGR266W",61.6483730237305,-0.258220938019359,0.243752936089267,1.13374119695847,0.567297966897099,0.609178290976048
"YJL184W",35.2002006769854,0.316827710362415,0.319281743622353,1.13253617141111,0.567639874160041,0.609382217127795
"YNL268W",240.578511120777,0.210641883265098,0.199442179344052,1.13230093533855,0.567706642773875,0.609382217127795
"YEL018W",34.0537191590019,-0.0789661718369443,0.384400725211123,1.12988366837305,0.568393206849296,0.610001648113548
"YOL071W",88.2364736810289,0.242872781602303,0.242153753125751,1.12725448042433,0.569140904485815,0.610686436612187
"YDR404C",49.3544871373405,-0.0150138875053707,0.291296877636717,1.12624413672499,0.569428491083467,0.610877358718658
"YJL068C",63.2265746398817,0.0555989631996323,0.246674829118499,1.12281135489957,0.570406692218623,0.611808949239497
"YHR061C",22.7118343471959,-0.403172017185072,0.413607599147037,1.12202995178921,0.570629594541664,0.611930215821292
"YLR137W",22.0534064943097,0.379331292394991,0.365148459744986,1.11845323258054,0.571650998504149,0.612907565948155
"YBR019C",8.14021215506592,0.570131717529672,0.622675585659395,1.11619713356186,0.572296212981043,0.613330890039536
"YCL050C",173.210403178237,0.183151684706989,0.211727538527928,1.11629960639219,0.572266891325853,0.613330890039536
"YLR090W",55.6487331592294,-0.182787421760493,0.275506588310206,1.11591794464688,0.572376107936735,0.613330890039536
"YOR174W",28.4977313053865,0.3978345104938,0.377380597981313,1.10776668785191,0.574713660518417,0.61571726975925
"YLR404W",16.3848557215801,-0.409910098870443,0.421248524640578,1.10457164403683,0.575632511928873,0.61658310400995
"YCL059C",86.0395420423348,-0.325423151266864,0.316759913822459,1.09800362928043,0.577526000759099,0.618492377975574
"YJR005W",104.763440206804,-0.18471696939522,0.226360411850137,1.08802801478046,0.580413785001419,0.621465538389949
"YKL039W",105.818738414677,-0.227462699138225,0.27197918346624,1.0864458015926,0.580873135847726,0.621837863145212
"YHR188C",70.0215269397418,0.222163452851414,0.227919988925831,1.08352779180207,0.581721251148197,0.622626146041614
"YOR192C",18.2485290036155,-0.256761405036052,0.406621654747536,1.07954571444142,0.582880634465908,0.623747217558505
"YDL193W",30.2461093027087,-0.289259481052295,0.363410190753495,1.06486766026131,0.587174147063986,0.628221081869304
"YMR310C",32.2732614853897,-0.29608142239619,0.325580137100702,1.06422073759136,0.587364105917977,0.628303654775163
"YDR182W",140.001988303023,-0.2162766068004,0.212581972399771,1.06305226334079,0.587707366097618,0.6285501509944
"YMR036C",52.5895713953982,-0.0205934576810707,0.259542525460951,1.05910786924002,0.588867584545166,0.629670117754533
"YAL054C",111.865303068036,0.253713146761099,0.271083261680478,1.0574543267434,0.58935464464903,0.630069991429619
"YDR522C",8.47597522567251,-0.141301128100837,0.600019477030826,1.05704049251717,0.589476604828089,0.63007946383294
"YGR178C",184.401675509661,-0.237392755843126,0.248680917906869,1.0531989609176,0.590609939417138,0.631169762611333
"YBL061C",64.870560685087,-0.230489891476507,0.249243445024686,1.0499706697027,0.59156403967778,0.632068136755833
"YHR197W",33.8055434695977,-0.149533941694907,0.319809243265164,1.0481027464351,0.592116795881139,0.632537424708308
"YDL247W",19.376972555195,1.30101867686666,1.56921524190442,1.04429133185613,0.593246273059894,0.633622505217919
"YGR278W",33.3280407087929,-0.140320597473557,0.332365963883689,1.0366287674747,0.595523526555358,0.63568912941941
"YIL049W",17.7472713664107,0.400258799892494,0.401692858695316,1.03714790500982,0.595368967307761,0.63568912941941
"YLR260W",75.0826945189158,0.250074772878786,0.246154072951059,1.03700768191125,0.595410711011798,0.63568912941941
"YDR311W",89.7132947725158,0.228017068282692,0.235128432334891,1.02557083494285,0.598825275261801,0.639091112736302
"YOL125W",55.4136640246927,0.0702432764679978,0.275391365570665,1.01990573342682,0.600523882809502,0.640781181982711
"YMR139W",104.732947473054,0.20260145636963,0.2033423048183,1.01597866648292,0.601704189961185,0.641917664165791
"YGR159C",86.0365541193465,-0.277707533957678,0.28913167632369,1.01477847910057,0.602065377211791,0.642180014636585
"YAL044W-A",47.4669054416309,0.287291207539221,0.316723157218531,1.01347061143522,0.602459216889941,0.642354123883993
"YPL235W",58.9219919253371,0.190072858782369,0.252667472708618,1.01384326436012,0.602346973252594,0.642354123883993
"YKR090W",32.7562165225742,-0.276013938345356,0.316324824546201,1.01297190603745,0.602609460452682,0.642391370872923
"YNL102W",128.165538922091,0.117125920422727,0.224004405551114,1.01227620045216,0.602819116298946,0.642491925942496
"YDR279W",30.341814067718,-0.258849230090559,0.319376636880045,1.01014109263053,0.603463001834174,0.643055161288864
"YPL069C",26.0399983711051,-0.314339029856995,0.366570234337289,1.00786691674804,0.604149582613933,0.643663668912262
"YOR097C",47.3843703180105,-0.254418397845374,0.277653629318957,1.00041660329914,0.60640433153334,0.645818874206125
"YPL139C",77.7745828552917,-0.21027185983534,0.219404901040307,1.00056234434008,0.606360144144085,0.645818874206125
"YMR163C",34.1284020128422,0.114825836371975,0.312323984419189,0.997428156560872,0.607311112354495,0.646660972271959
"YGL081W",10.6026575277689,0.51128949018794,0.545264120397556,0.995111226666786,0.608015068665735,0.647286823530825
"YPR114W",58.6920690717362,0.159842884476636,0.250509398096689,0.987596333893109,0.610303950170461,0.649599408941467
"YNL232W",74.1730950259633,0.139290455363711,0.225070547138358,0.983123676550349,0.611670317646412,0.650929386744634
"YJL019W",27.242800559857,-0.0955830541326512,0.331194137205784,0.981799298070271,0.612075493285877,0.651111814606764
"YOL070C",48.0381397149981,0.0102725529479948,0.262253090271501,0.98210498121211,0.611981949854807,0.651111814606764
"YCL057W",134.734685589674,-0.211748260618383,0.21459612417563,0.975996653451062,0.613853900188016,0.652878976316808
"YIL150C",35.5064596356171,-0.261435946441378,0.303524144153118,0.975600144243757,0.613975611614226,0.652883781695524
"YCL037C",30.5235187340445,-0.304014570168809,0.330316329643172,0.974413645520421,0.614339960318027,0.653146549414452
"YCL010C",24.714002664542,-0.192090603526273,0.361190719501024,0.971371096727516,0.615275251207041,0.654016108466786
"YJR099W",17.3654670167754,-0.343356045136284,0.405917102238059,0.950772542816871,0.621644886436768,0.66048834848654
"YKL078W",19.1437326333465,-0.336155931706336,0.391882659528226,0.951156060578036,0.621525691937892,0.66048834848654
"YPR056W",43.616724771333,-0.0696861844490618,0.294913526110838,0.950531601513752,0.621719780912478,0.66048834848654
"YLR245C",13.4998209290689,-0.250675540993452,0.533724628834768,0.948701442387396,0.622288964362368,0.660966981975739
"YKL213C",163.264657652701,-0.149246209600242,0.233843896751084,0.945150116904401,0.62339492130351,0.662015460652279
"YJR100C",57.5265416709119,-0.209934550103385,0.262407797624199,0.942887562320678,0.624100552879077,0.662638494394766
"YLR243W",21.6318198037477,0.239944111872833,0.392136763318154,0.94195149622027,0.624392720931294,0.662822379631905
"YER047C",117.164917534734,0.104921649275424,0.255376933341782,0.938897907412624,0.625346768375217,0.663708677199149
"YBR243C",29.7380227360157,-0.212696352209093,0.320638335239394,0.935750821368956,0.626331553016123,0.664547990291269
"YGR223C",72.1248518824037,0.0684772638488017,0.261752409259913,0.935608439334288,0.626376143783783,0.664547990291269
"YMR094W",17.1037665729059,-0.320693717422624,0.423813710303444,0.934951138510655,0.626582036392881,0.664639856196638
"YER142C",106.484790224053,-0.192486556574759,0.237856373010703,0.931231809646249,0.627748352862318,0.66575025200761
"YBR167C",19.9416085271873,-0.10435747604814,0.498076052785174,0.930022134835738,0.628128153394423,0.666026254769762
"YKL021C",32.0597148905145,-0.0124470119411967,0.377827672469316,0.92912243316151,0.628410780935394,0.666199136173374
"YLR370C",96.1058246588043,0.169000822343013,0.215592459052643,0.928652307743732,0.62855851423847,0.666228973139749
"YLR085C",38.7066773743432,0.220627366751049,0.328561744514414,0.922301635067072,0.630557571088761,0.668220701642664
"YLL007C",56.5610925102492,-0.122571642723699,0.251349888836633,0.921465025218524,0.630821391600648,0.668373140473034
"YDR478W",19.9485144589461,0.2418761442935,0.390831535334421,0.921034628784724,0.630957157847106,0.668389870006889
"YDL141W",15.801782402268,0.211105884855613,0.409043213033964,0.913780854579905,0.633249723149746,0.670690914005178
"YBR236C",41.4003081693521,-0.103130662276504,0.30150058181649,0.910435458267102,0.634309845179105,0.67168601929154
"YNCA0003W",18.39090229511,-0.360319334815123,0.462381619269463,0.90725990755044,0.635317786701429,0.672625501655959
"YJL168C",81.8361581886555,0.202556005227978,0.29600474869011,0.905472455574085,0.635885840522575,0.67309899630463
"YLR227C",64.6257074545732,0.225589032557422,0.295048634542476,0.902832355821417,0.63672579581719,0.673860070003337
"YGR200C",65.4317363760919,-0.213169666048068,0.245866094829417,0.897929892458137,0.63828847271953,0.675385580535708
"YOR278W",30.115763262203,0.0801384090383127,0.319543509698805,0.896769297883139,0.63865897727989,0.675649290244259
"YNL310C",49.9991298497268,-0.0339854386071538,0.30808962970105,0.88787110115392,0.641506764235858,0.678533165665077
"YNL099C",61.8421596891681,0.192833715200356,0.291809239102754,0.887015099949451,0.641781388282724,0.678694782483496
"YCL061C",72.1656365429092,0.396157922257166,0.424740540632907,0.877568065738544,0.644820024523632,0.681778773319635
"YBL097W",47.5706448926041,-0.0927982353917306,0.306439218598099,0.876890445125397,0.645038533208233,0.681880392505325
"YHR198C",110.918472553557,0.129973955034165,0.203911338111008,0.874456449881677,0.645824021440863,0.682581222433513
"YCL001W",71.0421443799628,-0.0141996206446208,0.250122200245047,0.870354271594948,0.647150023489096,0.683852955397905
"YFR034C",32.1771468319048,0.0642504202219716,0.327155255862803,0.863633656005128,0.649328304555224,0.686024650991306
"YPL144W",15.1202997809913,-0.46927325915017,0.514258277606436,0.861924895693036,0.649883314834518,0.686480839390045
"YPL100W",78.8293072501247,0.0173362686108114,0.229887687416983,0.855978813961443,0.651818319486186,0.688394285849771
"YPR071W",10.3474080144114,-0.0458156328430673,0.496811415817701,0.849912089933639,0.653798522234011,0.690354732252781
"YMR177W",34.614747714958,0.0158485754220876,0.299191664256931,0.845467282667677,0.655253142222728,0.691759570840026
"YMR281W",59.1948143441738,0.25864016672592,0.290802665917942,0.838046732579102,0.657688827340698,0.694199404531078
"YIR034C",127.664809599267,0.238012603783728,0.273102648852338,0.831378885860545,0.659885170671102,0.696385733246582
"YOL043C",25.1793327956448,-0.299540382674329,0.33297694938424,0.828353828151471,0.660884021237148,0.69730774286215
"YDR235W",37.8417620705087,-0.320823767065543,0.37119928901052,0.824138109185967,0.662278541097939,0.698646800313694
"YKL143W",57.5904702260965,0.0988800523089557,0.289569562644461,0.816881220258878,0.664685946931648,0.701053655879631
"YNR032W",42.39888771319,-0.254892199090175,0.282840059372968,0.815287771044432,0.665215729599063,0.701479619457956
"YFR009W",135.691791726783,0.00144191877756103,0.253709448674914,0.81338941365253,0.665847437952438,0.702012883579302
"YPL071C",40.7080369102227,-0.11538549466735,0.436687427379326,0.810771676142821,0.666719515452471,0.70279932272199
"YOR238W",26.5758414873597,0.224641920335313,0.377446652267703,0.808761810943004,0.667389860397874,0.703372855141233
"YDR480W",21.591498281187,-0.309765215202989,0.366201981692182,0.806882853766041,0.668017153499968,0.703900806156293
"YOR069W",54.2784867487102,0.173288964081146,0.279709109903666,0.806145080502816,0.668263621554172,0.704027351678951
"YER019W",32.3650828970781,0.216742230738255,0.347733872973809,0.804307339112754,0.668877951614294,0.704541325097983
"YNCJ0009C",91.0095324583435,-0.422947713214639,0.472961714709726,0.799714805068476,0.670415638790934,0.706027509206861
"YGL105W",180.487490448025,-0.0293866626904221,0.223733751637898,0.799159154608773,0.670601923045912,0.70609021230179
"YIR018W",35.5013036419311,0.219157635831922,0.313562362988274,0.798583681268674,0.670794907573209,0.706159945217375
"YKL099C",36.9898092162171,0.00631631335310566,0.343495758472243,0.796904224582022,0.671358429639269,0.706619650769009
"YHL047C",16.77503439373,0.356650827070098,0.405103054912037,0.795771239270593,0.671738857003492,0.706873949644157
"YKL049C",38.2251532555544,0.21736682598135,0.315955996357817,0.795429020025416,0.671853807820106,0.706873949644157
"YDL233W",31.17141910622,-0.223717160230712,0.314280358562269,0.790732879733447,0.67343322124981,0.708401902489179
"YCL031C",46.0601114850605,0.274668041102918,0.411142264289568,0.788720191468087,0.674111267937697,0.708981286328282
"YJR131W",29.2237868246197,-0.244082831898566,0.325322699025524,0.787509093883671,0.67451959882147,0.709276837492338
"YKL024C",47.632853269348,-0.13197249294708,0.266693527823854,0.786111823690852,0.674991006538236,0.709638591701172
"YOL060C",171.419884663104,0.0150574470248383,0.213540757467573,0.784108657789659,0.675667404700079,0.71021568143097
"YNCO0007W",10.4279212046723,-0.384421571554743,0.6194522725233,0.783577426199649,0.675846896471807,0.710270337718248
"YDR533C",1245.13742788099,0.162149986169208,0.195340727271828,0.78257376656974,0.676186141709368,0.71040895644474
"YMR017W",9.95093945683144,0.465764499621803,0.531067358349785,0.782432705318627,0.676233835222843,0.71040895644474
"YJR069C",20.9914872333101,-0.342449829903051,0.39147713193313,0.771192556933393,0.680045019084964,0.714278054547952
"YPR075C",135.238529394817,-0.13138688714968,0.221363408328557,0.770231650941582,0.680371827253429,0.714486606904591
"YNL035C",13.5230196228035,0.176641008057838,0.456550359004715,0.766383206461533,0.681682274246198,0.71572784580203
"YHR035W",18.6245420291242,-0.357948436460117,0.411512235161006,0.762144833720185,0.683128417813567,0.717111063809945
"YOR077W",9.8910464408573,-0.351772171688212,0.524397251477679,0.75984929643343,0.683912941330554,0.717799358732576
"YDL069C",21.7771621316048,-0.0979181344363964,0.377186875260175,0.751211323516799,0.68687313999025,0.720770439420924
"YLR151C",19.9095527828752,0.150733530744923,0.374083448626579,0.74576329286284,0.688746743655272,0.722600397156972
"YEL021W",66.6981059130015,-0.104275569416173,0.23624333608794,0.741799719602909,0.690113046156118,0.723897529680989
"YNL330C",102.993668817951,-0.142738967334055,0.232084365576903,0.74033359075834,0.690619128950592,0.724292011932181
"YGR016W",9.65248500477337,-0.37985743508051,0.540198133473829,0.728547188505004,0.694701102511171,0.728435882192685
"YML041C",45.9472573751738,0.235745867269632,0.282697425593118,0.725477084094464,0.695768323881278,0.729417638754723
"YNL140C",31.6905926677962,-0.272447794914731,0.355804473012952,0.723543308904837,0.696441378974378,0.729985874368064
"YLR052W",20.6118442776957,0.0691652430276772,0.444341707922023,0.722497358375648,0.696805695844874,0.73023034829793
"YMR073C",37.9663670972609,0.161600042523424,0.31255496270475,0.721280733186447,0.69722970047625,0.730537269391233
"YHR077C",186.787971840214,0.139262914121754,0.31838424233792,0.718838979693658,0.698081451840377,0.731292171531166
"YLR426W",12.8777267442328,-0.198635386565254,0.447193301611642,0.712519292226595,0.700290768851461,0.733468673297892
"YER145C-A",10.1130095813745,0.425307158037412,0.520672721680873,0.706006037843544,0.702575072354858,0.73572288121972
"YKL018C-A",41.5209816335104,0.266019607371873,0.320915460679531,0.703993432968332,0.703282431211548,0.736325206592659
"YNL258C",110.729254488612,-0.171161440334384,0.243719654140198,0.701324152812262,0.704221686775059,0.737170052052584
"YLR381W",22.419596514564,-0.3434599208561,0.417743978169359,0.695366003182862,0.706322743915415,0.739230510304861
"YPL172C",51.0202738734892,-0.218147688618054,0.265801819409218,0.692830548301885,0.707218736456885,0.740029222539689
