"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YNL259C",30.8531911550654,0.964868807708051,0.330805178573468,2.92000849326505,0.00350021846246072,0.011524655469485,"Thin_vs_Early","S000005203","ATX1","855462","ATX1"
"YBL033C",195.600838715925,0.643464841351982,0.220422874567184,2.9195906133599,0.00350491482400465,0.0115333021172652,"Thin_vs_Early","S000000129","RIB1","852247","RIB1"
"YKL057C",103.725708866282,0.725036721624243,0.248263177532041,2.91873951203182,0.00351449769979343,0.0115580086691554,"Thin_vs_Early","S000001540","NUP120","853808","NUP120"
"YJL031C",73.0404793510003,0.844289692467817,0.289284958559719,2.91800318446677,0.00352280752217812,0.0115785018914775,"Thin_vs_Early","S000003568","BET4","853421","BET4"
"YGR207C",105.236907530181,0.638864709539308,0.219031938145751,2.91671068365585,0.00353743728003259,0.0116197305937863,"Thin_vs_Early","S000003439","CIR1","853121","CIR1"
"YFR040W",541.261120026162,-0.650546818971979,0.223279721274379,-2.91397439946873,0.00356859169795261,0.0117151587208568,"Thin_vs_Early","S000001936","SAP155","850601","SAP155"
"YGR035W-A",16.5645502601705,-1.10334685556924,0.376978742758229,-2.91314026251426,0.00357813842431877,0.0117395813674204,"Thin_vs_Early","S000028827",NA,"1466457","YGR035W-A"
"YLR248W",503.45594433632,-0.441340903827143,0.151570627511985,-2.91187579599228,0.00359265459469012,0.0117802700100169,"Thin_vs_Early","S000004238","RCK2","850950","RCK2"
"YKL065C",258.515566192041,0.633607779198593,0.217721674584186,2.91162724007139,0.0035955143271336,0.0117827119508596,"Thin_vs_Early","S000001548","YET1","853800","YET1"
"YBR063C",59.6131761173588,-0.766510512137488,0.263133523571739,-2.91048886763273,0.00360863821919265,0.0118187675009537,"Thin_vs_Early","S000000267","CNM1","852356","CNM1"
"YBR014C",61.1189660244075,0.755320555109539,0.259559572345746,2.90929951704286,0.00362239634608921,0.0118498943300429,"Thin_vs_Early","S000000218","GRX7","852302","GRX7"
"YMR302C",392.008291947922,0.560872565355697,0.192789712362513,2.90933432191428,0.00362199305491481,0.0118498943300429,"Thin_vs_Early","S000004917","YME2","855348","YME2"
"YPL239W",84.3480888922569,0.939479009194829,0.323000140658604,2.90798960937843,0.00363760423821207,0.0118926603351405,"Thin_vs_Early","S000006160","YAR1","855837","YAR1"
"YOR086C",629.771390053493,-0.402192907494726,0.138398848049014,-2.90614252829474,0.00365914732619199,0.0119560761021792,"Thin_vs_Early","S000005612","TCB1","854253","TCB1"
"YBR169C",924.802938604097,-0.576933860561855,0.198627416904523,-2.90588201947745,0.00366219503990914,0.0119590202622121,"Thin_vs_Early","S000000373","SSE2","852467","SSE2"
"YBR087W",36.2729859576911,0.917784911960327,0.315317207722112,2.90553495180011,0.00366625899873759,0.0119652776109942,"Thin_vs_Early","S000000291","RFC5","852383","RFC5"
"YIL010W",29.2472354633951,0.984290412478515,0.33796697469479,2.90481159665501,0.00367474224546094,0.0119859420664303,"Thin_vs_Early","S000001272","DOT5","854805","DOT5"
"YNL040W",18.1655044666013,-1.02091625529415,0.349569164621435,-2.90438676870294,0.00367973278868104,0.0119951968202119,"Thin_vs_Early","S000004985",NA,"855688","YNL040W"
"YGR271W",135.041750779083,-0.603019033169767,0.207555620644848,-2.90377826514411,0.00368689174274914,0.012011505204009,"Thin_vs_Early","S000003503","SLH1","853187","SLH1"
"YFL007W",486.999415372597,-0.735315691977156,0.253222652736032,-2.90357595300766,0.00368927471848971,0.012012243984048,"Thin_vs_Early","S000001887","BLM10","850541","BLM10"
"YML083C",13.2728897508375,-1.21148985126538,0.414397392515284,-2.90132991686862,0.00371582435119981,0.0120916223484428,"Thin_vs_Early","S000004548",NA,"854891","YML083C"
"YMR286W",130.202579868762,0.822304935703113,0.2836565670986,2.90031971849922,0.0037278220953794,0.0121235825413652,"Thin_vs_Early","S000004899","MRPL33","855330","MRPL33"
"YJR097W",16.6341090224798,1.23128525440528,0.422207553300977,2.89979663119569,0.00373404843364448,0.0121367466883509,"Thin_vs_Early","S000003858","JJJ3","853560","JJJ3"
