"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","comparison","SGD","GENENAME","ENTREZID","label"
"YPL195W",174.156304341997,0.583339361214863,0.210427269070406,2.77227658717844,0.00556657160155352,0.0126113747020149,"Mature_vs_Early","S000006116","APL5","855906","APL5"
"YNL306W",200.954964115045,0.491542843967966,0.177336277279047,2.77176095837775,0.00557539627687339,0.0126262327879925,"Mature_vs_Early","S000005250","MRPS18","855410","MRPS18"
"YML067C",79.0818341054364,-0.691727759848636,0.24963223858445,-2.77156791825103,0.00557870328819048,0.0126285883862288,"Mature_vs_Early","S000004532","ERV41","854935","ERV41"
"YPL082C",329.649739319638,-0.437402013425163,0.157785978598903,-2.77131413809763,0.00558305354262201,0.0126333027156569,"Mature_vs_Early","S000006003","MOT1","856023","MOT1"
"YPL219W",86.7363406904173,-0.639467280163469,0.230639084477593,-2.76945663267921,0.00561498787588424,0.0127004049762692,"Mature_vs_Early","S000006140","PCL8","855882","PCL8"
"YKL144C",27.0041814565913,0.919420734650507,0.331735641122051,2.76893483411222,0.00562398826529705,0.0127156000917085,"Mature_vs_Early","S000001627","RPC25","853713","RPC25"
"YBR154C",41.3828171060499,0.88684857139142,0.320551203847596,2.76504116336485,0.00569156131212599,0.0128513081993377,"Mature_vs_Early","S000000358","RPB5","852451","RPB5"
"YDR163W",54.9386178553707,1.12180897288931,0.405166170866979,2.76509883849913,0.0056905550639615,0.0128513081993377,"Mature_vs_Early","S000002570","CWC15","851741","CWC15"
"YHR213W-A",9.51207650986037,1.58039831056842,0.562930082210905,2.76494508375398,0.00569323795296453,0.0128513081993377,"Mature_vs_Early","S000028651",NA,"1466532","YHR213W-A"
"YNL269W",9.68389228627946,-1.37628264636633,0.484901779176071,-2.76507530277128,0.00569096566838305,0.0128513081993377,"Mature_vs_Early","S000005213","BSC4","855452","BSC4"
"YNCD0010C",46.4798133288324,-1.27910358715011,0.460205905183517,-2.76457247444317,0.00569974440027419,0.0128607841449686,"Mature_vs_Early","S000006507","SNR47","9164877","SNR47"
"YLL033W",18.0741146929189,1.01384363896975,0.366019337155792,2.76410047051281,0.00570799608967351,0.0128741887512434,"Mature_vs_Early","S000003956","IRC19","850626","IRC19"
"YPR003C",64.8661022553963,-0.662852706958084,0.239674075554017,-2.76278436115992,0.00573106157450129,0.0129209809921273,"Mature_vs_Early","S000006207",NA,"856111","YPR003C"
"YKR017C",34.9427998217136,-0.88097402554089,0.318214347554996,-2.76203251440973,0.00574427576286675,0.0129455340918004,"Mature_vs_Early","S000001725","HEL1","853887","HEL1"
"YJL031C",73.0404793510003,0.811689968905941,0.293940835038004,2.76079659904805,0.00576605748208522,0.0129893676638483,"Mature_vs_Early","S000003568","BET4","853421","BET4"
"YDR381W",309.550998388232,0.461312601107884,0.167127555512453,2.76021915157293,0.00577625989610209,0.0130070913020149,"Mature_vs_Early","S000002789","YRA1","851988","YRA1"
"YJR124C",20.6320327277334,-1.06750320813444,0.38597560676928,-2.75929980924045,0.00579253654086863,0.0130384731592643,"Mature_vs_Early","S000003885",NA,"853588","YJR124C"
"YDL145C",277.723033809201,-0.586926822184193,0.2130370446727,-2.75545806744439,0.00586100166909498,0.0131872537554637,"Mature_vs_Early","S000002304","COP1","851410","COP1"
