"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","SGD","GENENAME","ENTREZID","label"
"YBL017C",423.723527278359,0.286123895690203,0.199702861324865,1.43310924502559,0.151826619812404,0.246237583398806,"NS","S000000113","PEP1","852264","PEP1"
"YBL018C",32.4914356227256,0.264266715018656,0.326504615070969,0.805594430540003,0.420476738001571,0.541068961224763,"NS","S000000114","POP8","852263","POP8"
"YBL019W",49.0552542388817,0.463479091535786,0.294916727734227,1.58513332351941,0.112936045737056,0.195018813828094,"NS","S000000115","APN2","852262","APN2"
"YBL020W",121.450759876064,0.817513654036654,0.226047395294653,3.61549044148655,0.000299779536695976,0.00138710282303429,"NS","S000000116","RFT1","852261","RFT1"
"YBL021C",45.4019420181494,0.533964089207037,0.262573380739387,2.02335437354457,0.0430366246980964,0.0887003463533463,"NS","S000000117","HAP3","852260","HAP3"
"YBL022C",388.492359354114,-1.04710357914207,0.163446457268244,-6.40577136619333,1.49611022630824e-10,2.72380067672001e-09,"Down","S000000118","PIM1","852259","PIM1"
"YBL023C",39.5030066750846,0.806247116404714,0.32704965350258,2.4629835400287,0.0137786241179966,0.034875381627151,"NS","S000000119","MCM2","852258","MCM2"
"YBL024W",81.5387578206691,0.0346883572531195,0.22261398038379,0.15402824297854,0.877587466634622,0.91832317607131,"NS","S000000120","NCL1","852257","NCL1"
"YBL025W",14.7922113327386,1.11911641127103,0.468289995755071,2.37384788067219,0.0176038013220557,0.0425100897985143,"Up","S000000121","RRN10","852256","RRN10"
"YBL026W",45.1766027944033,-0.472792898379264,0.332287233097194,-1.4234889420454,0.154594465442398,0.249419567616449,"NS","S000000122","LSM2","852255","LSM2"
"YBL027W",620.527685360225,1.01752426505912,0.155076393496166,6.56058117628553,5.35984669337231e-11,1.05511328370237e-09,"Up","S000000123","RPL19B","852254","RPL19B"
"YBL028C",73.3430679311693,-0.60027835032384,0.305499955761938,-1.96589681584265,0.0493105309657265,0.0987806429378146,"NS","S000000124",NA,"852253","YBL028C"
"YBL029C-A",117.409009071576,-0.946781065437592,0.273999381054409,-3.45420361720478,0.000551920496556008,0.0023311213694568,"NS","S000007591",NA,"852251","YBL029C-A"
"YBL029W",358.486378806101,-0.604523837781524,0.298184148895048,-2.02733304348823,0.0426283643896049,0.0879397000339217,"NS","S000000125",NA,"852252","YBL029W"
"YBL030C",481.328877841963,0.0205973930223411,0.156147173799662,0.131361459833523,0.895489375017609,0.928834725046193,"NS","S000000126","PET9","852250","PET9"
"YBL031W",7.4006113850893,-0.173076036097925,0.502427375807011,-0.357620611031306,0.720627251722082,0.802762331402464,"NS","S000000127","SHE1","852249","SHE1"
"YBL032W",44.1719160401181,-0.893185406896587,0.287392623295926,-3.10698336390732,0.0018900703480296,0.00665586719903471,"NS","S000000128","HEK2","852248","HEK2"
